"journal_id","journal_number","journal_date","source_type","source_id","line_id","account_id","account_code","account_name","line_amount","description","tenant_id","user_id","connection_id","provider","org_id","org_name","updated_at","synced_at","department","class_name","vendor_name","vendor_id","debit_amount","credit_amount"
"sample_gl_2024__TB_4000_202401",0,"2024-01-31 00:00:00","REV","","sample_gl_2024__TB_4000_202401__0","4000","4000","Product Sales",-68628,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,68628
"sample_gl_2024__TB_4000_202402",0,"2024-02-29 00:00:00","REV","","sample_gl_2024__TB_4000_202402__0","4000","4000","Product Sales",-68628,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,68628
"sample_gl_2024__TB_4000_202403",0,"2024-03-31 00:00:00","REV","","sample_gl_2024__TB_4000_202403__0","4000","4000","Product Sales",-78432,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,78432
"sample_gl_2024__TB_4000_202404",0,"2024-04-30 00:00:00","REV","","sample_gl_2024__TB_4000_202404__0","4000","4000","Product Sales",-78432,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,78432
"sample_gl_2024__TB_4000_202405",0,"2024-05-31 00:00:00","REV","","sample_gl_2024__TB_4000_202405__0","4000","4000","Product Sales",-78432,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,78432
"sample_gl_2024__TB_4000_202406",0,"2024-06-30 00:00:00","REV","","sample_gl_2024__TB_4000_202406__0","4000","4000","Product Sales",-78432,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,78432
"sample_gl_2024__TB_4000_202407",0,"2024-07-31 00:00:00","REV","","sample_gl_2024__TB_4000_202407__0","4000","4000","Product Sales",-78432,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,78432
"sample_gl_2024__TB_4000_202408",0,"2024-08-31 00:00:00","REV","","sample_gl_2024__TB_4000_202408__0","4000","4000","Product Sales",-78432,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,78432
"sample_gl_2024__TB_4000_202409",0,"2024-09-30 00:00:00","REV","","sample_gl_2024__TB_4000_202409__0","4000","4000","Product Sales",-88236,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,88236
"sample_gl_2024__TB_4000_202410",0,"2024-10-31 00:00:00","REV","","sample_gl_2024__TB_4000_202410__0","4000","4000","Product Sales",-88236,"Monthly revenue recognition","3c964ac3-7868-48ca-a197-53cf9629175d","","d8f7ab35-f218-4b14-8188-bf744c42cb6e","gl_import","sample_gl_2024","","2026-05-17 17:45:55","2026-05-17 17:45:56","","","","",0,88236
